Topo 02 - Polygon Calculation																																																						
HITUNGAN   POLIGON																																																						
																																																						
Proyek	:															Referensi	Titik	X	Y	Z			DX	0.000																														
Jalur	:															awal	K20	10000.000   	10000.000   	29.966			DY	0.000																														
Dihitung Oleh 	:															BS	K19	10050.000   	10050.000   	(Nilai Z Back Sight...)			DZ	-11.724																														
Tanggal	:																azimuth	" 45° 0' 0"""					Koreksi sudut  :	Y																														
																akhir	K30	9644.001   	9646.908   	(Nilai Z Berdiri Akhir...)			Koreksi jarak  :	Y																														
																	K55	9536.413   	9539.568   	21			Koreksi Elevasi	Y																														
																	azimuth	" 225° 3' 58"""																																				
																																																						
No	Tinggi alat	Tinggi target	Titik Poligon		Sudut Horisontal	Sudut Vertikal	Koreksi sudut	Azimuth		Jarak Miring	Jarak Datar	DX	Koreksi X	DY	Koreksi Y	DZ	Koreksi Z	Koordinat   (m)			Patok	Keterangan			Keterangan Tambahan																													
									+ koreksi									Absis  (X)	Ordinat  (Y)	Z		Poligon	WP	BM/CP			No	Point Name	Instrument Height (m)	Instrument Centering Error (m)	Instrument Height Error (m)	Reflector Height Error (m)	Reflector Centering Error (m)	#	Point From	Point To	Reflector Height (m)	Horizontal Circle	Slope Distance (m)	Zenith Angle	Code	Type												
		1.45		69	"151°55'31"""	"92°27'06"""	0''	" 196° 55' 53"""	" 196° 55' 53"""	116.184  	116.105  	-33.81  	0.00  	-111.07  	0.00  	-4.57  	0.00  	9966.187   	9888.928   	25.396   	69				C									134	1	69	1.45	"151°55'31"""	116.184	"92°27'06"""	C	SS												
		1.45		70	"152°49'11"""	"92°52'37"""	0''	" 197° 59' 53"""	" 197° 59' 53"""	115.251  	115.178  	-35.59  	0.00  	-109.54  	0.00  	-4.37  	0.00  	9964.412   	9890.458   	25.598   	70				T1L									136	1	70	1.45	"152°49'11"""	115.251	"92°52'37"""	T1L	SS												
		2.5		71	"170°00'33"""	"92°34'54"""	0''	" 215° 50' 55"""	" 215° 50' 55"""	104.021  	103.953  	-60.88  	0.00  	-84.26  	0.00  	-5.08  	0.00  	9939.120   	9915.739   	24.888   	71				T1L									138	1	71	2.5	"170°00'33"""	104.021	"92°34'54"""	T1L	SS												
		2.5		72	"170°39'48"""	"92°15'04"""	0''	" 216° 0' 0"""	" 216° 0' 0"""	103.798  	103.729  	-60.97  	0.00  	-83.92  	0.00  	-5.10  	0.00  	9939.029   	9916.081   	24.866   	72				C									140	1	72	2.5	"170°39'48"""	103.798	"92°15'04"""	C	SS												
		2.5		73	"172°46'39"""	"92°22'41"""	0''	" 217° 57' 1"""	" 217° 57' 1"""	102.932  	102.867  	-63.26  	0.00  	-81.12  	0.00  	-4.98  	0.00  	9936.739   	9918.885   	24.988   	73				T									142	1	73	2.5	"172°46'39"""	102.932	"92°22'41"""	T	SS												
		2.5		74	"172°56'55"""	"92°31'52"""	0''	" 217° 56' 57"""	" 217° 56' 57"""	102.880  	102.816  	-63.23  	0.00  	-81.08  	0.00  	-4.95  	0.00  	9936.772   	9918.924   	25.020   	74				D									144	1	74	2.5	"172°56'55"""	102.88	"92°31'52"""	D	SS												
		2.5		75	"173°04'28"""	"92°31'52"""	0''	" 218° 54' 60"""	" 218° 54' 60"""	102.876  	102.812  	-64.59  	0.00  	-79.99  	0.00  	-4.95  	0.00  	9935.414   	9920.006   	25.020   	75				D									146	1	75	2.5	"173°04'28"""	102.876	"92°31'52"""	D	SS												
		2.5		76	"173°10'24"""	"92°21'24"""	0''	" 218° 50' 56"""	" 218° 50' 56"""	102.915  	102.851  	-64.52  	0.00  	-80.10  	0.00  	-4.95  	0.00  	9935.485   	9919.899   	25.017   	76				T									148	1	76	2.5	"173°10'24"""	102.915	"92°21'24"""	T	SS												
		2.5		77	"175°49'29"""	"90°32'20"""	0''	" 221° 0' 1"""	" 221° 0' 1"""	102.128  	102.128  	-67.00  	0.00  	-77.08  	0.00  	-1.38  	0.00  	9932.998   	9922.923   	28.582   	77				C									150	1	77	2.5	"175°49'29"""	102.128	"90°32'20"""	C	SS												
		2.5		78	"177°54'16"""	"90°35'01"""	0''	" 222° 54' 58"""	" 222° 54' 58"""	101.714  	101.714  	-69.26  	0.00  	-74.49  	0.00  	-1.47  	0.00  	9930.740   	9925.510   	28.493   	78				C									152	1	78	2.5	"177°54'16"""	101.714	"90°35'01"""	C	SS												
		2.5		79	"180°03'29"""	"89°10'08"""	0''	" 225° 54' 1"""	" 225° 54' 1"""	101.808  	101.793  	-73.10  	0.00  	-70.84  	0.00  	0.45  	0.00  	9926.900   	9929.162   	30.414   	79				C									154	1	79	2.5	"180°03'29"""	101.808	"89°10'08"""	C	SS												
		2.5		80	"188°32'59"""	"89°27'52"""	0''	" 233° 53' 1"""	" 233° 53' 1"""	102.010  	101.998  	-82.40  	0.00  	-60.12  	0.00  	0.25  	0.00  	9917.604   	9939.880   	30.213   	80				C									156	1	80	2.5	"188°32'59"""	102.01	"89°27'52"""	C	SS												
		1.45		K22	"180°04'30"""	"89°43'54"""	0''	" 225° 54' 52"""	" 225° 54' 52"""	101.835  	101.821  	-73.14  	0.00  	-70.84  	0.00  	1.41  	-1.83  	9926.862   	9929.160   	29.551   	K22	P			K22									158	1	K22	1.45	"180°04'30"""	101.835	"89°43'54"""	K22	SS												
																																																						
2	1.205	1.45	K22	K20	"0°04'28"""	"89°57'10"""		" 45° 54' 52"""	" 45° 54' 52"""	101.847  	101.835  							9926.862   	9929.160   	29.551   	K22				K20		3	K22	1.205	0	0	0.002	0.001	2	K22	K20	1.45	"0°04'28"""	101.847	"89°57'10"""	K20	SS												
		1.45		K25	"179°55'35"""	"90°09'35"""	0''	" 224° 55' 49"""	" 224° 55' 49"""	143.033  	143.033  	-101.02  	0.00  	-101.26  	0.00  	-0.62  	-2.57  	9825.846   	9827.898   	26.361   	K25	P			K25									4	81	K25	1.45	"179°55'35"""	143.033	"90°09'35"""	K25	SS												
																																																						
3	1.12	1.45	K25	K22	"359°55'35"""	"89°35'29"""		" 44° 55' 49"""	" 44° 55' 49"""	143.034  	143.016  							9825.846   	9827.898   	26.361   	K25				K22		5	K25	1.12	0	0	0.002	0.001	1	K25	K22	1.45	"359°55'35"""	143.034	"89°35'29"""	K22	SS												
		1.45		K22	"359°55'31"""	"89°35'28"""	0''	" 44° 55' 45"""	" 44° 55' 45"""	143.034  	143.016  	101.00  	0.00  	101.25  	0.00  	1.95  	0.00  	9926.848   	9929.150   	28.314   	K22				K22									2	83	K22	1.45	"359°55'31"""	143.034	"89°35'28"""	K22	SS												
		1.45		K23	"359°46'17"""	"89°23'56"""	0''	" 44° 56' 51"""	" 44° 56' 51"""	92.364  	92.351  	65.24  	0.00  	65.36  	0.00  	1.20  	0.00  	9891.088   	9893.260   	27.560   	K23				K23									4	83	K23	1.45	"359°46'17"""	92.364	"89°23'56"""	K23	SS												
		1.45		K24	"359°07'18"""	"89°08'45"""	0''	" 44° 57' 52"""	" 44° 57' 52"""	45.221  	45.216  	31.95  	0.00  	31.99  	0.00  	0.35  	0.00  	9857.798   	9859.890   	26.714   	K24				K24									6	83	K24	1.45	"359°07'18"""	45.221	"89°08'45"""	K24	SS												
		1.45		87	"347°50'40"""	"89°56'44"""	0''	" 32° 50' 44"""	" 32° 50' 44"""	94.900  	94.888  	51.47  	0.00  	79.72  	0.00  	1.16  	0.00  	9877.311   	9907.617   	27.520   	87				S									8	83	87	1.45	"347°50'40"""	94.9	"89°56'44"""	S	SS												
		1.45		88	"353°36'23"""	"89°55'35"""	0''	" 38° 56' 47"""	" 38° 56' 47"""	93.257  	93.245  	58.61  	0.00  	72.52  	0.00  	1.16  	0.00  	9884.459   	9900.418   	27.521   	88				S									10	83	88	1.45	"353°36'23"""	93.257	"89°55'35"""	S	SS												
		1.45		89	"353°45'58"""	"89°44'47"""	0''	" 38° 55' 52"""	" 38° 55' 52"""	93.350  	93.338  	58.65  	0.00  	72.61  	0.00  	1.19  	0.00  	9884.498   	9900.505   	27.549   	89				C									12	83	89	1.45	"353°45'58"""	93.35	"89°44'47"""	C	SS												
		1.45		90	"359°41'03"""	"89°31'50"""	0''	" 44° 51' 47"""	" 44° 51' 47"""	92.356  	92.342  	65.14  	0.00  	65.45  	0.00  	1.25  	0.00  	9890.985   	9893.349   	27.616   	90				C									14	83	90	1.45	"359°41'03"""	92.356	"89°31'50"""	C	SS												
		1.45		91	"2°07'30"""	"91°01'50"""	0''	" 47° 57' 44"""	" 47° 57' 44"""	92.952  	92.937  	69.02  	0.00  	62.23  	0.00  	-1.98  	0.00  	9894.871   	9890.130   	24.382   	91				C									16	83	91	1.45	"2°07'30"""	92.952	"91°01'50"""	C	SS												
		1.45		92	"4°31'14"""	"91°04'08"""	0''	" 49° 51' 48"""	" 49° 51' 48"""	92.289  	92.273  	70.54  	0.00  	59.48  	0.00  	-2.05  	0.00  	9896.389   	9887.378   	24.310   	92				C									18	83	92	1.45	"4°31'14"""	92.289	"91°04'08"""	C	SS												
		1.45		93	"7°23'02"""	"92°56'33"""	0''	" 52° 53' 46"""	" 52° 53' 46"""	92.736  	92.674  	73.91  	0.00  	55.91  	0.00  	-3.73  	0.00  	9899.757   	9883.804   	22.632   	93				T									20	83	93	1.45	"7°23'02"""	92.736	"92°56'33"""	T	SS												
		1.45		94	"7°35'20"""	"93°06'46"""	0''	" 52° 55' 44"""	" 52° 55' 44"""	92.892  	92.756  	74.01  	0.00  	55.91  	0.00  	-5.36  	0.00  	9899.855   	9883.811   	21.005   	94				D									22	83	94	1.45	"7°35'20"""	92.892	"93°06'46"""	D	SS												
		1.45		95	"7°45'30"""	"93°04'59"""	0''	" 52° 55' 44"""	" 52° 55' 44"""	92.938  	92.805  	74.05  	0.00  	55.94  	0.00  	-5.31  	0.00  	9899.893   	9883.841   	21.055   	95				D									24	83	95	1.45	"7°45'30"""	92.938	"93°04'59"""	D	SS												
		1.45		96	"7°50'11"""	"92°57'45"""	0''	" 52° 50' 45"""	" 52° 50' 45"""	92.983  	92.919  	74.06  	0.00  	56.12  	0.00  	-3.77  	0.00  	9899.904   	9884.017   	22.595   	96				D									26	83	96	1.45	"7°50'11"""	92.983	"92°57'45"""	D	SS												
		1.45		97	"10°22'40"""	"92°54'17"""	0''	" 55° 52' 44"""	" 55° 52' 44"""	93.528  	93.467  	77.38  	0.00  	52.43  	0.00  	-3.71  	0.00  	9903.223   	9880.327   	22.655   	97				C									28	83	97	1.45	"10°22'40"""	93.528	"92°54'17"""	C	SS												
		1.45		98	"10°58'33"""	"93°10'47"""	0''	" 55° 58' 47"""	" 55° 58' 47"""	93.744  	93.615  	77.59  	0.00  	52.38  	0.00  	-5.24  	0.00  	9903.438   	9880.274   	21.122   	98				T1L									30	83	98	1.45	"10°58'33"""	93.744	"93°10'47"""	T1L	SS												
		1.45		99	"38°16'37"""	"90°38'32"""	0''	" 83° 56' 51"""	" 83° 56' 51"""	115.657  	115.657  	115.01  	0.00  	12.19  	0.00  	-0.60  	0.00  	9940.858   	9840.092   	25.761   	99				C									32	83	99	1.45	"38°16'37"""	115.657	"90°38'32"""	C	SS												
		1.45		100	"35°48'00"""	"90°51'22"""	0''	" 80° 58' 44"""	" 80° 58' 44"""	111.927  	111.927  	110.54  	0.00  	17.55  	0.00  	-0.36  	0.00  	9936.388   	9845.448   	25.998   	100				C									34	83	100	1.45	"35°48'00"""	111.927	"90°51'22"""	C	SS												
		1.45		101	"33°27'32"""	"92°29'30"""	0''	" 78° 57' 46"""	" 78° 57' 46"""	109.482  	109.405  	107.38  	0.00  	20.95  	0.00  	-4.44  	0.00  	9933.227   	9848.843   	21.924   	101				T									36	83	101	1.45	"33°27'32"""	109.482	"92°29'30"""	T	SS												
		1.45		102	"33°24'12"""	"92°35'36"""	0''	" 78° 54' 46"""	" 78° 54' 46"""	109.437  	109.365  	107.32  	0.00  	21.03  	0.00  	-4.31  	0.00  	9933.169   	9848.929   	22.050   	102				D									38	83	102	1.45	"33°24'12"""	109.437	"92°35'36"""	D	SS												
		1.45		103	"33°16'10"""	"92°35'24"""	0''	" 78° 56' 44"""	" 78° 56' 44"""	109.214  	109.142  	107.12  	0.00  	20.93  	0.00  	-4.30  	0.00  	9932.962   	9848.825   	22.059   	103				D									40	83	103	1.45	"33°16'10"""	109.214	"92°35'24"""	D	SS												
		1.45		104	"33°12'15"""	"92°32'33"""	0''	" 78° 52' 49"""	" 78° 52' 49"""	109.097  	109.028  	106.98  	0.00  	21.03  	0.00  	-4.20  	0.00  	9932.827   	9848.925   	22.159   	104				T									42	83	104	1.45	"33°12'15"""	109.097	"92°32'33"""	T	SS												
		1.45		105	"33°09'36"""	"92°14'51"""	0''	" 78° 59' 50"""	" 78° 59' 50"""	109.052  	108.981  	106.98  	0.00  	20.80  	0.00  	-4.26  	0.00  	9932.823   	9848.697   	22.098   	105				T									44	83	105	1.45	"33°09'36"""	109.052	"92°14'51"""	T	SS												
		1.45		106	"33°05'31"""	"92°14'52"""	0''	" 78° 55' 45"""	" 78° 55' 45"""	108.948  	108.877  	106.85  	0.00  	20.91  	0.00  	-4.26  	0.00  	9932.697   	9848.804   	22.101   	106				T									46	83	106	1.45	"33°05'31"""	108.948	"92°14'52"""	T	SS												
		1.45		107	"33°03'37"""	"92°23'04"""	0''	" 78° 53' 51"""	" 78° 53' 51"""	108.839  	108.769  	106.73  	0.00  	20.95  	0.00  	-4.23  	0.00  	9932.579   	9848.843   	22.136   	107				Ji									48	83	107	1.45	"33°03'37"""	108.839	"92°23'04"""	Ji	SS												
		1.45		108	"31°10'29"""	"92°24'12"""	0''	" 76° 50' 53"""	" 76° 50' 53"""	106.733  	106.664  	103.87  	0.00  	24.27  	0.00  	-4.18  	0.00  	9929.711   	9852.167   	22.181   	108				Ji									50	83	108	1.45	"31°10'29"""	106.733	"92°24'12"""	Ji	SS												
		1.45		109	"30°59'43"""	"92°21'09"""	0''	" 75° 59' 47"""	" 75° 59' 47"""	106.297  	106.231  	103.07  	0.00  	25.71  	0.00  	-4.08  	0.00  	9928.920   	9853.604   	22.286   	109				C									52	83	109	1.45	"30°59'43"""	106.297	"92°21'09"""	C	SS												
		1.45		110	"30°38'29"""	"92°28'58"""	0''	" 75° 58' 53"""	" 75° 58' 53"""	105.701  	105.628  	102.48  	0.00  	25.59  	0.00  	-4.27  	0.00  	9928.327   	9853.485   	22.092   	110				T1L									54	83	110	1.45	"30°38'29"""	105.701	"92°28'58"""	T1L	SS												
		2.5		111	"14°14'32"""	"94°37'41"""	0''	" 59° 54' 46"""	" 59° 54' 46"""	94.582  	94.338  	81.63  	0.00  	47.29  	0.00  	-8.17  	0.00  	9907.473   	9875.191   	18.191   	111				D1L									56	83	111	2.5	"14°14'32"""	94.582	"94°37'41"""	D1L	SS												
		1.45		112	"30°02'50"""	"92°51'02"""	0''	" 75° 52' 44"""	" 75° 52' 44"""	104.837  	104.772  	101.61  	0.00  	25.56  	0.00  	-4.02  	0.00  	9927.452   	9853.459   	22.341   	112				T1L									58	83	112	1.45	"30°02'50"""	104.837	"92°51'02"""	T1L	SS												
		2.5		113	"27°16'53"""	"94°18'59"""	0''	" 72° 56' 47"""	" 72° 56' 47"""	102.436  	102.169  	97.68  	0.00  	29.96  	0.00  	-8.77  	0.00  	9923.523   	9857.860   	17.593   	113				D1L									60	83	113	2.5	"27°16'53"""	102.436	"94°18'59"""	D1L	SS												
		2.5		114	"22°46'24"""	"94°27'06"""	0''	" 67° 56' 48"""	" 67° 56' 48"""	98.805  	98.550  	91.34  	0.00  	37.00  	0.00  	-8.48  	0.00  	9917.185   	9864.900   	17.885   	114				D1L									62	83	114	2.5	"22°46'24"""	98.805	"94°27'06"""	D1L	SS												
		1.45		115	"339°14'50"""	"90°17'53"""	0''	" 24° 54' 44"""	" 24° 54' 44"""	47.176  	47.176  	19.87  	0.00  	42.79  	0.00  	-0.43  	0.00  	9845.718   	9870.684   	25.935   	115				S									64	83	115	1.45	"339°14'50"""	47.176	"90°17'53"""	S	SS												
		1.45		116	"352°35'09"""	"90°22'01"""	0''	" 37° 55' 53"""	" 37° 55' 53"""	45.518  	45.518  	27.98  	0.00  	35.90  	0.00  	-0.36  	0.00  	9853.826   	9863.800   	26.005   	116				S									66	83	116	1.45	"352°35'09"""	45.518	"90°22'01"""	S	SS												
		1.45		117	"353°25'15"""	"89°44'55"""	0''	" 38° 55' 49"""	" 38° 55' 49"""	45.517  	45.511  	28.60  	0.00  	35.40  	0.00  	0.41  	0.00  	9854.444   	9863.301   	26.772   	117				C									68	83	117	1.45	"353°25'15"""	45.517	"89°44'55"""	C	SS												
		1.45		118	"359°13'23"""	"89°26'34"""	0''	" 44° 53' 47"""	" 44° 53' 47"""	45.273  	45.267  	31.95  	0.00  	32.07  	0.00  	0.38  	0.00  	9857.797   	9859.964   	26.741   	118				C									70	83	118	1.45	"359°13'23"""	45.273	"89°26'34"""	C	SS												
		1.45		119	"4°46'13"""	"92°33'25"""	0''	" 49° 56' 47"""	" 49° 56' 47"""	45.796  	45.767  	35.03  	0.00  	29.45  	0.00  	-1.97  	0.00  	9860.877   	9857.349   	24.392   	119				C									72	83	119	1.45	"4°46'13"""	45.796	"92°33'25"""	C	SS												
		1.45		120	"8°43'20"""	"92°24'58"""	0''	" 53° 53' 44"""	" 53° 53' 44"""	46.309  	46.279  	37.39  	0.00  	27.27  	0.00  	-2.00  	0.00  	9863.236   	9855.168   	24.359   	120				C									74	83	120	1.45	"8°43'20"""	46.309	"92°24'58"""	C	SS												
		1.45		121	"14°26'44"""	"95°44'28"""	0''	" 59° 56' 48"""	" 59° 56' 48"""	47.673  	47.487  	41.10  	0.00  	23.78  	0.00  	-4.54  	0.00  	9866.948   	9851.679   	21.819   	121				T									76	83	121	1.45	"14°26'44"""	47.673	"95°44'28"""	T	SS												
		1.45		122	"14°51'01"""	"96°03'29"""	0''	" 59° 51' 45"""	" 59° 51' 45"""	47.768  	47.502  	41.08  	0.00  	23.85  	0.00  	-5.37  	0.00  	9866.926   	9851.747   	20.995   	122				D									78	83	122	1.45	"14°51'01"""	47.768	"96°03'29"""	D	SS												
		1.45		123	"15°09'46"""	"96°03'30"""	0''	" 60° 59' 50"""	" 60° 59' 50"""	47.867  	47.600  	41.63  	0.00  	23.08  	0.00  	-5.38  	0.00  	9867.477   	9850.977   	20.986   	123				D									80	83	123	1.45	"15°09'46"""	47.867	"96°03'30"""	D	SS												
		1.45		124	"15°21'37"""	"95°45'02"""	0''	" 60° 51' 51"""	" 60° 51' 51"""	47.905  	47.717  	41.68  	0.00  	23.23  	0.00  	-4.58  	0.00  	9867.525   	9851.130   	21.786   	124				T									82	83	124	1.45	"15°21'37"""	47.905	"95°45'02"""	T	SS												
		1.45		125	"20°21'08"""	"95°36'10"""	0''	" 65° 51' 52"""	" 65° 51' 52"""	48.983  	48.789  	44.52  	0.00  	19.95  	0.00  	-4.68  	0.00  	9870.370   	9847.847   	21.677   	125				C									84	83	125	1.45	"20°21'08"""	48.983	"95°36'10"""	C	SS												
		1.45		126	"21°14'07"""	"96°02'29"""	0''	" 66° 54' 51"""	" 66° 54' 51"""	49.384  	49.110  	45.18  	0.00  	19.26  	0.00  	-5.52  	0.00  	9871.023   	9847.154   	20.838   	126				T1L									86	83	126	1.45	"21°14'07"""	49.384	"96°02'29"""	T1L	SS												
		1.45		127	"49°24'30"""	"94°17'14"""	0''	" 94° 54' 44"""	" 94° 54' 44"""	69.143  	68.965  	68.71  	0.00  	-5.91  	0.00  	-5.29  	0.00  	9894.557   	9821.992   	21.066   	127				T1L									88	83	127	1.45	"49°24'30"""	69.143	"94°17'14"""	T1L	SS												
		1.45		128	"49°44'22"""	"93°44'32"""	0''	" 94° 54' 46"""	" 94° 54' 46"""	70.171  	70.070  	69.81  	0.00  	-6.00  	0.00  	-4.08  	0.00  	9895.659   	9821.897   	22.277   	128				C									90	83	128	1.45	"49°44'22"""	70.171	"93°44'32"""	C	SS												
		1.45		129	"50°02'50"""	"93°38'29"""	0''	" 95° 52' 44"""	" 95° 52' 44"""	71.028  	70.922  	70.55  	0.00  	-7.26  	0.00  	-4.22  	0.00  	9896.394   	9820.633   	22.146   	129				Ji									92	83	129	1.45	"50°02'50"""	71.028	"93°38'29"""	Ji	SS												
		1.45		130	"52°19'42"""	"93°27'35"""	0''	" 97° 59' 46"""	" 97° 59' 46"""	74.994  	74.883  	74.15  	0.00  	-10.42  	0.00  	-4.41  	0.00  	9900.001   	9817.481   	21.952   	130				Ji									94	83	130	1.45	"52°19'42"""	74.994	"93°27'35"""	Ji	SS												
		1.45		131	"52°23'46"""	"93°16'20"""	0''	" 97° 53' 50"""	" 97° 53' 50"""	75.096  	74.986  	74.27  	0.00  	-10.30  	0.00  	-4.39  	0.00  	9900.121   	9817.595   	21.970   	131				T									96	83	131	1.45	"52°23'46"""	75.096	"93°16'20"""	T	SS												
		1.45		132	"52°26'47"""	"93°16'24"""	0''	" 97° 56' 51"""	" 97° 56' 51"""	75.203  	75.093  	74.37  	0.00  	-10.38  	0.00  	-4.40  	0.00  	9900.217   	9817.515   	21.963   	132				T									98	83	132	1.45	"52°26'47"""	75.203	"93°16'24"""	T	SS												
		1.45		133	"52°29'16"""	"93°39'11"""	0''	" 97° 59' 50"""	" 97° 59' 50"""	75.326  	75.212  	74.48  	0.00  	-10.46  	0.00  	-4.47  	0.00  	9900.326   	9817.434   	21.892   	133				T									100	83	133	1.45	"52°29'16"""	75.326	"93°39'11"""	T	SS												
		1.45		134	"52°35'11"""	"93°42'08"""	0''	" 97° 55' 45"""	" 97° 55' 45"""	75.554  	75.448  	74.73  	0.00  	-10.41  	0.00  	-4.33  	0.00  	9900.572   	9817.490   	22.030   	134				D									102	83	134	1.45	"52°35'11"""	75.554	"93°42'08"""	D	SS												
		1.45		135	"52°39'45"""	"93°39'49"""	0''	" 97° 59' 49"""	" 97° 59' 49"""	75.638  	75.524  	74.79  	0.00  	-10.51  	0.00  	-4.49  	0.00  	9900.635   	9817.391   	21.872   	135				D									104	83	135	1.45	"52°39'45"""	75.638	"93°39'49"""	D	SS												
		1.45		136	"52°44'48"""	"93°25'50"""	0''	" 97° 54' 52"""	" 97° 54' 52"""	75.857  	75.747  	75.03  	0.00  	-10.43  	0.00  	-4.41  	0.00  	9900.871   	9817.468   	21.951   	136				D									106	83	136	1.45	"52°44'48"""	75.857	"93°25'50"""	D	SS												
		1.45		137	"54°55'43"""	"91°12'08"""	0''	" 99° 55' 47"""	" 99° 55' 47"""	79.990  	79.977  	78.78  	0.00  	-13.79  	0.00  	-1.78  	0.00  	9904.625   	9814.106   	24.586   	137				D									108	83	137	1.45	"54°55'43"""	79.99	"91°12'08"""	D	SS												
		1.45		138	"57°02'39"""	"90°42'20"""	0''	" 102° 52' 53"""	" 102° 52' 53"""	84.423  	84.423  	82.30  	0.00  	-18.82  	0.00  	-0.38  	0.00  	9908.144   	9809.077   	25.982   	138				C									110	83	138	1.45	"57°02'39"""	84.423	"90°42'20"""	C	SS												
		2.5		139	"26°50'26"""	"98°31'12"""	0''	" 71° 50' 50"""	" 71° 50' 50"""	51.547  	51.043  	48.50  	0.00  	15.90  	0.00  	-8.57  	0.00  	9874.348   	9843.800   	17.792   	139				D1L									112	83	139	2.5	"26°50'26"""	51.547	"98°31'12"""	D1L	SS												
		2.5		140	"37°43'30"""	"97°34'18"""	0''	" 82° 53' 44"""	" 82° 53' 44"""	58.164  	57.722  	57.28  	0.00  	7.14  	0.00  	-8.54  	0.00  	9883.124   	9835.037   	17.823   	140				D1L									114	83	140	2.5	"37°43'30"""	58.164	"97°34'18"""	D1L	SS												
		2.5		141	"45°47'03"""	"96°39'44"""	0''	" 90° 57' 47"""	" 90° 57' 47"""	65.893  	65.514  	65.50  	0.00  	-1.10  	0.00  	-8.44  	0.00  	9891.350   	9826.796   	17.921   	141				D1L									116	83	141	2.5	"45°47'03"""	65.893	"96°39'44"""	D1L	SS												
		2.5		142	"92°26'54"""	"99°19'19"""	0''	" 137° 56' 48"""	" 137° 56' 48"""	47.392  	46.789  	31.34  	0.00  	-34.74  	0.00  	-8.92  	0.00  	9857.186   	9793.156   	17.443   	142				D1L									118	83	142	2.5	"92°26'54"""	47.392	"99°19'19"""	D1L	SS												
		2.5		143	"92°10'40"""	"101°55'10"""	0''	" 137° 50' 44"""	" 137° 50' 44"""	37.150  	36.457  	24.47  	0.00  	-27.03  	0.00  	-8.52  	0.00  	9850.313   	9800.871   	17.840   	143				D1L									120	83	143	2.5	"92°10'40"""	37.15	"101°55'10"""	D1L	SS												
		2.5		144	"92°10'44"""	"108°14'47"""	0''	" 137° 50' 48"""	" 137° 50' 48"""	24.594  	23.381  	15.69  	0.00  	-17.33  	0.00  	-9.01  	0.00  	9841.537   	9810.564   	17.353   	144				D1L									122	83	144	2.5	"92°10'44"""	24.594	"108°14'47"""	D1L	SS												
		1.45		145	"92°10'41"""	"95°37'28"""	0''	" 137° 50' 45"""	" 137° 50' 45"""	52.678  	52.468  	35.21  	0.00  	-38.90  	0.00  	-5.03  	0.00  	9861.058   	9789.001   	21.331   	145				T1L									124	83	145	1.45	"92°10'41"""	52.678	"95°37'28"""	T1L	SS												
		1.45		146	"92°16'28"""	"94°41'31"""	0''	" 137° 56' 52"""	" 137° 56' 52"""	54.234  	54.101  	36.24  	0.00  	-40.17  	0.00  	-4.13  	0.00  	9862.083   	9787.726   	22.232   	146				C									126	83	146	1.45	"92°16'28"""	54.234	"94°41'31"""	C	SS												
		1.45		147	"92°16'27"""	"94°36'00"""	0''	" 137° 56' 51"""	" 137° 56' 51"""	55.284  	55.143  	36.94  	0.00  	-40.95  	0.00  	-4.28  	0.00  	9862.781   	9786.953   	22.079   	147				Ji									128	83	147	1.45	"92°16'27"""	55.284	"94°36'00"""	Ji	SS												
		1.45		148	"92°16'28"""	"94°18'04"""	0''	" 137° 56' 52"""	" 137° 56' 52"""	59.481  	59.326  	39.74  	0.00  	-44.05  	0.00  	-4.62  	0.00  	9865.583   	9783.846   	21.743   	148				Ji									130	83	148	1.45	"92°16'28"""	59.481	"94°18'04"""	Ji	SS												
		1.45		149	"92°19'28"""	"94°06'24"""	0''	" 137° 59' 52"""	" 137° 59' 52"""	59.571  	59.418  	39.76  	0.00  	-44.15  	0.00  	-4.59  	0.00  	9865.606   	9783.743   	21.771   	149				T									132	83	149	1.45	"92°19'28"""	59.571	"94°06'24"""	T	SS												
		1.45		150	"92°19'30"""	"94°18'12"""	0''	" 137° 59' 44"""	" 137° 59' 44"""	59.499  	59.344  	39.71  	0.00  	-44.10  	0.00  	-4.62  	0.00  	9865.558   	9783.799   	21.742   	150				Ji									134	83	150	1.45	"92°19'30"""	59.499	"94°18'12"""	Ji	SS												
		1.45		151	"92°19'29"""	"94°06'23"""	0''	" 137° 59' 53"""	" 137° 59' 53"""	59.564  	59.412  	39.76  	0.00  	-44.15  	0.00  	-4.59  	0.00  	9865.601   	9783.748   	21.772   	151				T									136	83	151	1.45	"92°19'29"""	59.564	"94°06'23"""	T	SS												
		1.45		152	"92°19'30"""	"94°06'24"""	0''	" 137° 59' 44"""	" 137° 59' 44"""	59.716  	59.563  	39.86  	0.00  	-44.26  	0.00  	-4.60  	0.00  	9865.705   	9783.637   	21.761   	152				T									138	83	152	1.45	"92°19'30"""	59.716	"94°06'24"""	T	SS												
		1.45		153	"92°15'12"""	"94°38'07"""	0''	" 137° 55' 46"""	" 137° 55' 46"""	59.910  	59.754  	40.04  	0.00  	-44.36  	0.00  	-4.65  	0.00  	9865.884   	9783.541   	21.711   	153				T									140	83	153	1.45	"92°15'12"""	59.91	"94°38'07"""	T	SS												
