PROYEK :								
								
Patok		Koordinat		Azimuth			Jarak	Tinggi atas
Berdiri	Dibidik	X	Y	jam	mnt	dtk	datar	tanah
								
	8			269	33		338.998	7.972
	15			21	36		120	8.072
	"A,assal"			20	5		72.19	7.672
-1								
15								8.072
	16			20	38		116.2	8.15
	1			90	59		75.995	8.322
	2			89	43		148.198	8.403
	3			91	5		214.396	8.09
	4			90	52		287.198	8.128
	5			269	27		78.394	8.302
	6			270	4		176.197	8.297
	7			268	37		248.996	7.949
	8			267	54		314.196	7.866
	"A,assal"			23	58		67.788	7.9
-1								
16								8.15
	17			33	13		117.987	8.25
	1			90	23		66.987	8.421
	2			92	1		139.395	8.526
	3			90	6		205.19	8.68
	4			91	13		262.996	8.266
	5			89	56		329.198	8.475
	6			269	43		65.589	8.497
	7			270	5		143.396	8.586
	8			268	58		232.996	8.32
	9			271	1		315.995	8.142
-1								
17								8.25
	18			32	28		73.199	8.4
	1			89	58		87.191	8.839
	2			90	5		155.997	8.746
	3			91	31		219	8.236
	4			90	18		294.2	9.341
	5			270	2		79.596	8.894
	6			269	51		194.196	8.615
	7			271	5		229.396	8.426
	8			270	13		287.196	8.341
-1								
18								8.4
	P28			8	19		48.2	9.842
-1								
	P6	5276.597	9947.806	320	52		17.154	9.851
1								9.6
	1			214	52		4.509	9.3
	2			211	57		38.929	8.575
	3			174	23		67.982	9.033
-1								
P9		5392.474	9851.228					9.815
	1			223	49		36.981	9.367
-1								
P11		5470.873	9789.157					10.264
	"2,ldg"			185	29		36.557	9.659
	"3,ldg"			231	51		59.986	9.507
	"5,ldg"			271	24		68.76	9.254
-1								
	P13	5555.634	9736.097	130	31		7.384	10.649
2								10.1
	3			230	42		85.976	9.067
	4			170	47		114.995	10.224
	5			182	46		82.986	9.307
	6			176	31		203.188	8.956
-1								
	P17	5661.257	9577.016	316	53		9.389	9.82
3								9.4
	"1,btldg"			217	53		132.79	8.984
-1								
P26		6076.971	9404.946					10.504
	"1,ldg"			194	14		26.55	9.611
	"2,btldg"			193	58		70.763	9.113
-1									
BTH02		6614.795	9335.789					11.171	
	"1,btsdesa"			359	24		79.348	11.035	
	"2,btsdesa"			91	43		58.148	9.708	
	"3,btsdesa"			239	16		41.91	9.511	
-1									
P36		6603.28	9236.265					10.883	
	"1,mesjid"			262	15		43.328	9.418	
	"2,mesjid"			253	43		54.104	9.214	
	"3,btsdesa"			100	59		62.956	9.516	
-1									
P38		6522.353	9109.519					10.842	
	"1,btsdesa"			271	43		37.309	9.281	
	"2,swh"			270	29		97.953	8.99	
	"3,swh"			268	30		169.761	8.559	
	"4,btsdesa"			92	16		36.087	9.109	
-1									
P39		6516.532	9009.704					10.141	
	"1,btsdesa"			93	24		96.185	9.228	
	"2,btsdesa"			268	43		41.955	9.051	
	"3,swh"			269	16		103.577	8.894	
	"4,swh"			270	33		173.985	8.811	
	"5,swh"			316	36		106.385	9.162	
	6swh			237	43		8.785	8.785	
	"7,swh"			246	58		8.817	8.817	
-1									
P46		6652.737	8358.746					10.294	
	1			104	28		68.377	9.346	
	2			289	46		61.117	8.34	
	3			290	13		128.943	7.898	
-1									
P48		6540.424	8191.802					10.041	
	"1,mesjid"			352	26		52.371	9.082	
	"2,mesjid"			340	17		43.265	9.092	
	"3,btsdesa"			293	22		40.961	9.053	
	"4,swh"			297	6		109.776	8.687	
	"5,btsdesa"			114	23		54.572	9.078	
-1									
P49		6500.595	8104.363					9.901	
	1			255	6		28.575	9.341	
	2			282	14		56.147	8.449	
	3			165	31		42.155	8.807	
-1									
P55		6016.043	7705.978					9.025	
	1z			239	4		126.194	8.437	
-1									
1z								8.437	
	2z			273	16		76.393	8.078	
-1								
2z								8.078
	3z			271	26		88.4	8.673
	1			183	5		45.966	7.224
	2			7	43		49.185	7.595
-1								
3z								8.673
	4z			290	37		133.997	8.458
	1			183	24		30.199	8.932
	2			1	38		63.375	7.819
	3			3	29		163.785	7.501
-1								
4z								8.458
	"2,tpswh"			255	1		51.989	8.127
	"3,jln"			273	24		72.987	7.913
	"4,swh"			29	25		89.175	7.363
-1								
P62		5261.709	8737.519					8.199
	1			83	12		59.396	8
	2			84	32		139.999	8.077
	3			86	16		242.199	7.92
	4			122	31		112.997	7.859
	5			108	41		198.998	7.905
	6			131	34		200.198	7.902
	7			229	31		92.398	8.054
	8			250	4		161.598	7.967
	9			295	56		90.199	8.117
	10			285	8		175.599	7.973
-1								
P63		5321.813	8863.204					8.531
	1			125	31		62.385	7.974
	2			101	6		144.793	7.925
	3			89	54		223.996	7.959
	4			61	4		178.196	8.055
	5			60	31		258.396	7.884
	6			48	5		97.194	8.144
	7			323	10		93.394	8.175
	8			298	14		166.396	8.113
	9			271	12		196.994	7.847
	10			268	54		102.994	8.157
-1								
HP65		5364.644	9074.233					8.665
	1			123	16		56.193	8.184
	2			92	32		128.396	8.095
	3			91	4		257.996	7.754
	4			70	34		305.197	7.917
	5			66	25		201.197	7.986
	6			39	38		103.796	8.171
	7			302	17		126.399	8.548
	8			288	37		202	8.123
	9			257	30		158.398	8.206
	10			240	12		84.995	8.137
-1								
P66		5244.028	9250.154					9.352
	1			192	16		48.183	8.75
	2			94	31		56.394	9.089
	3			119	7		108.991	8.632
	4			100	32		132.394	8.761
	5			89	34		245.499	9.156
	6			91	30		283.197	8.658
	7			65	29		203.994	8.579
	8			53	2		173.599	9.142
	9			46	8		89.198	9.258
	10			9	49		134.597	9.06
	11			319	3		80.197	9.157									
	12			306	7		141.591	8.494									
	13			276	14		97.998	9.162									
	14			277	21		183.999	9.165									
	15			260	5		179.995	8.652									
	16			242	36		145.192	8.549									
-1																	
	P68	5236.287	9401.806	253	15		178.999	9.216									
HP1								8.41									
	HP2			342	31		149.999	9.11									
	1			242	5		89.797	8.293									
	2			166	12		71.195	8.194									
	3			123	31		127.998	8.257									
	4			121	8		213.998	8.193									
	5			139	9		240.799	8.325									
	6			129	18		330.199	8.239									
	7			113	41		322.999	8.157									
	8			96	6		250.398	8.159									
	9			85	13		312.6	7.823									
	10			85	8		141.997	8.195									
	11			69	42		88.4	8.789									
	12			54	58		113	8.979									
	13			34	31		196.199	9.215									
	14			21	33		82.995	8.187									
	15			303	6		57.393	8.181									
	16			299	54		150.997	8.2									
	17			337	8		107.4	8.784									
	18			332	12		152.198	8.239									
-1																	
	HP2			154	29		185.194	9.11									
HP3								9.789									
	1			127	12		86.199	9.903									
	2			152	31		87.752	8.137									
	3			138	4		158.198	9.581									
	4			127	32		229.399	9.782									
	5			102	31		188.598	9.576									
	6			100	29		130.2	9.626									
	7			36	27		78.596	9.607									
	8			334	31		85.193	9.386									
	9			279	50		89	9.972									
	10			303	19		119.19	9.104									
	11			321	4		168.19	8.907									
	12			282	31		162.989	8.851									
	13			252	16		153.995	9.283									
	14			217	8		88.799	9.947									
	15			189	13		111.395	9.434									
	16			149	9		184.189	8.732									
-1																	
P69		5196.667	9485.424					9.578
	1			194	4		26.163	8.871
	2			197	42		78.996	9.279
	3			169	15		73.379	8.615
	4			130	31		58.164	8.415
	5			98	4		98.987	8.73
	6			84	8		86.194	9.151
	7			10	31		40.389	9.183
	8			332	58		58.178	8.719
-1								
P73		5058.801	9597.594					8.527
	1			125	15		75.2	8.674
	2			203	4		36	8.733
	3			158	31		80.2	8.757
	4			215	8		82.398	9.234
	5			256	11		43.193	9.367
	6			96	30		141.6	8.827
	7			72	18		101.4	8.768
	8			54	23		48.191	8.168
	9			47	8		90.996	8.218
	10			63	4		127.996	8.12
	11			117	13		107.397	8.265
	12			303	8		64.2	8.696
	13			256	30		104	8.706
-1								
P75		5039.282	9724.905					8.41
	1			217	5		50.99	9.442
	2			251	16		39.115	10.552
	3			299	10		65.102	11.25
	4			344	17		103	8.67
	5			351	20		62.386	9.674
	6			30	1		80.4	8.777
	7			41	6		83.195	7.359
	8			134	24		34.6	8.68
-1								
CP01		4952.096	10018.601					8.003
	"1,barak"			33	31		55.982	8.9
	"2,barak"			34	1		71.182	9
	"3,barak"			349	16		61.88	9.065
	"4,rumah"			315	25		35.784	9.687
	"5,jln"			298	19		61.2	10.562
								
								
								
								
								
								
								
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
